Epoch,TrainLoss,ValLoss,ValAccuracy
1,0.848928,0.427594,0.839371
2,0.355048,0.255773,0.904278
3,0.245165,0.232728,0.916735
4,0.127789,0.169769,0.936404
5,0.070713,0.115459,0.964596
6,0.063181,0.072028,0.976233
7,0.047206,0.07193,0.980003
8,0.034626,0.067739,0.980495
9,0.027739,0.109402,0.980003
10,0.051973,0.089252,0.97525
11,0.034478,0.054198,0.984593
12,0.019363,0.19493,0.949844
13,0.018861,0.074039,0.982298
14,0.049296,0.165104,0.967218
15,0.020801,0.159332,0.968038
16,0.024777,0.145572,0.960498
17,0.025899,0.075269,0.979675
18,0.026535,0.178897,0.96394
19,0.010909,0.063519,0.987051
20,0.001238,0.050935,0.989182
21,0.021798,0.324734,0.919685
22,0.040979,0.05877,0.986232
23,0.020115,0.045586,0.98869
24,0.01186,0.096929,0.976561
25,0.012027,0.086195,0.978036
26,0.034129,0.19004,0.965743
27,0.022866,0.059372,0.98869
28,0.0003,0.057278,0.990329
29,9.5e-5,0.060085,0.989838
30,2.0e-5,0.063824,0.989674
31,7.0e-6,0.06716,0.989838
32,3.0e-6,0.076,0.990329
33,1.0e-6,0.078288,0.990166
34,1.0e-6,0.083918,0.990329
35,1.0e-6,0.084133,0.990329
36,0.0,0.087101,0.989346
37,0.0,0.086778,0.990329
38,0.0,0.086961,0.990329
39,0.0,0.086115,0.990985
40,0.0,0.088101,0.990493
41,0.0,0.090253,0.990493
42,0.0,0.092183,0.990002
43,0.0,0.095596,0.990002
44,0.0,0.090416,0.990329
45,0.0,0.093738,0.990002
46,0.0,0.091568,0.989674
47,0.0,0.098271,0.989838
48,0.0,0.096824,0.989838
49,0.0,0.096541,0.98951
50,0.0,0.097398,0.989838
