Dataset,Class,Precision,Recall,F1,Support,Accuracy
Training,no anomaly,1.0,1.0,1.0,4962,1.0
Training,anomaly type 2,1.0,1.0,1.0,2893,1.0
Training,anomaly type 3,1.0,1.0,1.0,3900,1.0
Training,anomaly type 1,1.0,1.0,1.0,4108,1.0
Training,Overall (macro avg),1.0,1.0,1.0,15863,1.0
Validation,no anomaly,0.9849,0.9937,0.9893,1908,0.9898
Validation,anomaly type 2,0.9873,0.9793,0.9833,1113,0.9898
Validation,anomaly type 3,0.9954,1.0,0.9977,1500,0.9898
Validation,anomaly type 1,0.9923,0.9829,0.9876,1580,0.9898
Validation,Overall (macro avg),0.99,0.989,0.9895,6101,0.9898
Test,no anomaly,1.0,1.0,1.0,765,1.0
Test,anomaly type 2,1.0,1.0,1.0,446,1.0
Test,anomaly type 3,1.0,1.0,1.0,600,1.0
Test,anomaly type 1,1.0,1.0,1.0,632,1.0
Test,Overall (macro avg),1.0,1.0,1.0,2443,1.0
